Feature,Impact_Score
recency_days,0.35172688372750555
cart_abandonment_rate,0.0723584725422801
loyalty_score,0.06681198185424575
engagement_score,0.02608084423681291
email_open_rate,0.011658076706330537
total_spent,0.0065768989768767196
purchase_frequency,0.006294433394357402
website_visits,0.006085191343227235
avg_order_value,0.00316199385898883
discount_usage_rate,0.0025838443879910187
preferred_channel_Mobile App,0.0012598562019886116
preferred_channel_Online,0.001217725645767963
gender_Other,0.0010466812575986178
age_group_55+,0.0010171813171523333
gender_Male,0.0009808839845633914
region_East,0.0009747201028748016
customer_segment_New,0.0009391499382382037
region_West,0.000929800830258477
customer_segment_Returning,0.0009164424390864451
customer_segment_VIP,0.0008979265685099045
age_group_25-34,0.000862869694656792
region_South,0.0008337104084376522
age_group_35-44,0.0008060741857187692
age_group_45-54,0.0007838898916085335
region_North,0.0007689585265857245
