customer_id,total_spent,customer_segment,Churn_Probability,Revenue_At_Risk
C071011,24945.95,New,1.0,24945.95
C004169,25842.33,VIP,0.95,24550.21
C011973,26694.44,VIP,0.9,24025.0
C049803,24616.74,VIP,0.95,23385.9
C026116,25891.24,VIP,0.9,23302.12
C010485,26361.95,Loyal,0.88,23198.52
C078317,23495.32,VIP,0.96,22555.51
C077070,25038.42,VIP,0.89,22284.19
C004355,25640.9,New,0.86,22051.17
C040894,24177.92,VIP,0.89,21518.35
C067331,21950.74,Returning,0.97,21292.22
C080499,22450.94,New,0.93,20879.37
C041211,21898.89,VIP,0.95,20803.95
C045710,22806.66,Returning,0.91,20754.06
C011551,21447.56,Returning,0.96,20589.66
C024097,25322.71,New,0.81,20511.4
C011728,26273.98,VIP,0.78,20493.7
C037741,20393.04,Loyal,1.0,20393.04
C047974,24506.23,VIP,0.83,20340.17
C023612,22342.7,Loyal,0.91,20331.86
C034505,20453.39,Loyal,0.99,20248.86
C075418,21044.13,Loyal,0.95,19991.92
C021839,20919.68,VIP,0.95,19873.7
C022040,21346.69,Loyal,0.93,19852.42
C078826,22749.03,Loyal,0.87,19791.66
C097599,25045.38,Loyal,0.79,19785.85
C049513,21170.87,Returning,0.93,19688.91
C017720,21027.45,New,0.93,19555.53
C068076,21900.4,New,0.89,19491.36
C095660,22918.64,New,0.85,19480.84
C088907,20029.53,New,0.97,19428.64
C079829,22020.55,Returning,0.88,19378.08
C055466,19969.31,New,0.97,19370.23
C001174,20514.67,New,0.94,19283.79
C031841,20942.14,New,0.92,19266.77
C021080,26129.67,Returning,0.73,19074.66
C082663,20923.11,Loyal,0.91,19040.03
C076237,23787.29,Returning,0.8,19029.83
C068412,22460.5,Returning,0.84,18866.82
C032479,19447.5,Returning,0.97,18864.08
C003616,23208.16,Returning,0.81,18798.61
C059035,20131.3,Returning,0.93,18722.11
C026318,27047.79,New,0.69,18662.98
C021983,19089.22,New,0.97,18516.54
